"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"accutane",0.123046798132525,0.110221699690959,0.107585859265583,0.0985862589380751,0.0861607850439847,0.0859745067096605,0.0838346476304129,0.0815986540716137,0.0781329296829559,0.0775137750917577
"aha",0.590745299269613,0.270114062385689,0.257810346653177,0.246369851775958,0.200357746202476,0.193962019385101,0.180986903714235,0.172355310453696,0.167365652045606,0.15664708487307
"aloe",0.173546802339273,0.172355310453696,0.168566774505239,0.164898706447509,0.154574856535852,0.143379969517264,0.141077682931636,0.140220254408516,0.13698401880628,0.131709165271237
"aquafor",0.768221279597376,0.768221279597376,0.768221279597376,0.768221279597376,0.497036586077274,0.373865843157538,0.181388626635486,0.139792174792865,0.100535913269671,0.0926021725508208
"argan",0.218560176240567,0.18196863131171,0.18196863131171,0.18196863131171,0.18196863131171,0.145072854538013,0.139792174792865,0.139300124659309,0.131932572474656,0.128671253163745
"azelaicacid",0.261769585063867,0.168607703672895,0.151193354951948,0.150405108879877,0.134058837695569,0.127642054033483,0.119546491931612,0.110189910680315,0.109406358323624,0.107436161597791
"aztecsecretclaymask",1,0.247234088217074,0.188177482373745,0.0795054244426302,0.0657496443775727,0.0568512273886102,0,0,0,0
"benzoylperoxide",0.221857204180778,0.182507468527783,0.168431269767439,0.151958627140257,0.129370853752418,0.129283220878505,0.118254043544133,0.111822119502283,0.109013470362216,0.0943933664626267
"bha",0.590745299269613,0.332940683836759,0.258733221221815,0.256145215776355,0.208980495677985,0.188431585760275,0.17437126333253,0.173546802339273,0.172043953605369,0.164292918490994
"bp",0.175346615971614,0.169841982924124,0.168431269767439,0.156177727884448,0.153824098728242,0.152865023857413,0.143327497167417,0.131709165271237,0.131442932433932,0.123046798132525
"ceravefoamingcleanser",0.158590369923888,0.11920382163279,0.111359613844678,0.109713015940666,0.0945883841010733,0.0892544124232591,0.0741403950362954,0.0734655702148616,0.0706417653686817,0.0699209904142135
"ceravefoamingfacialcleanser",0.247234088217074,0.247234088217074,0.152162062697778,0.132073804585351,0.113788873648003,0.106000740820566,0.0933289274798323,0.0919610810715447,0.0880734972095858,0.0719032749303658
"ceravehydratingcleanser",0.245670668280157,0.209060814590366,0.140440573403538,0.128282745457305,0.11581026365302,0.111822119502283,0.0994837545106995,0.0955467851680478,0.0945586843090292,0.0924593757000709
"ceraveinthetub",0.181443684650606,0.138176998558541,0.110901664909591,0.110073279457034,0.10087653246868,0.0919610810715447,0.0905513545623387,0.071997945296121,0.0719424840384646,0.0676267768352378
"ceravemoisturizingcream",0.138462193905428,0.138176998558541,0.120310952094361,0.118730351752543,0.105165931568002,0.0976637014333566,0.0935813448464271,0.0907095992220883,0.082495894626246,0.0757384490104766
"ceravepm",0.209060814590366,0.198810693121886,0.166759400487483,0.162309022163171,0.154485682235714,0.132073804585351,0.130432176493098,0.127642054033483,0.117066439397273,0.107932580000535
"ceravepmmoisturizer",0.198810693121886,0.158590369923888,0.128671253163745,0.11581026365302,0.0645389668385424,0,0,0,0,0
"cetaphil",0.256225994443097,0.130868430671905,0.130868430671905,0.130868430671905,0.130868430671905,0.130868430671905,0.127631601554318,0.122264507956289,0.115119171951585,0.109766022781289
"cetaphildailyfacialcleanser",0.356235249939548,0.109057025559921,0.0795054244426302,0,0,0,0,0,0,0
"cetaphildailyhydratinglotionw/hyaluronicacid",1,1,1,0.768221279597376,0.64699663922063,0.486664263392288,0.18196863131171,0.139346602858324,0.130868430671905,0.104990131391452
"cetaphilgentleskincleanser",0.256225994443097,0.0636923774147708,0.0590418738873702,0.027984907085737,0.0216574437720113,0,0,0,0,0
"cosrxlowphcleanser",0.0839921051131616,0.0525997155020582,0.0454809819108882,0,0,0,0,0,0,0
"cosrxsnailmucinessence",0.181443684650606,0.137931034482759,0.110221699690959,0,0,0,0,0,0,0
"differin",0.185678201703005,0.1823810088079,0.173762870603272,0.156177727884448,0.151958627140257,0.148879496975523,0.134598095010327,0.129819973396273,0.119546491931612,0.109250941686452
"duacgel",0,0,0,0,0,0,0,0,0,0
"garniermicellarwater",0.131932572474656,0.103778756509297,0.0907889138773538,0.0887322973433534,0.0857786336474155,0.0811777098245907,0.0793912201750273,0.0744850195770797,0.0742160040948844,0.073667968631726
"grapeseed",0.247914697751359,0.240790399896556,0.121216841560374,0.114469993552679,0.104278941879437,0.0976637014333566,0.0884507025523698,0.087958481667637,0.0829752007388979,0.0772358527639179
"hadalabo",0.235781205155005,0.224152794833681,0.176097752675493,0.162878848203868,0.146448805789438,0.13236812703624,0.131255760190577,0.127200663421577,0.122486176282688,0.112884296113859
"hempseed",0.0774287016353139,0,0,0,0,0,0,0,0,0
"holysnailssharksauce",0.120038418441836,0.11337314689563,0.110056363290703,0.103918891781593,0.0886379935648677,0.088151928544252,0.0730175057636912,0.0657496443775727,0.0636043395541042,0.0568512273886102
"hyaluronicacid",0.235781205155005,0.215374538925241,0.188431585760275,0.181388626635486,0.166557235422731,0.164335693605863,0.152102887774635,0.149621699101189,0.142936509239467,0.141091019197009
"jojoba",0.240790399896556,0.146986183948033,0.139300124659309,0.137931034482759,0.115628684939869,0.111682654203736,0.107779335084688,0.0935813448464271,0.091366087763303,0.0815521054953857
"laroche-posaytolerianehydratinggentlefacecleanser",1,1,1,0.768221279597376,0.64699663922063,0.486664263392288,0.18196863131171,0.139346602858324,0.130868430671905,0.104990131391452
"laroche-posaytolerianeultra",0.116122169048603,0.110189910680315,0.0657496443775727,0,0,0,0,0,0,0
"lavender",0.0958310321842016,0.0955467851680478,0.0852762572728723,0.0825669210701589,0.0818287954709247,0.0816659929250042,0.0780766518575318,0.071408172007499,0.0663321191072543,0.0638036668387149
"mariobadescudryinglotion",0.486664263392288,0.486664263392288,0.486664263392288,0.486664263392288,0.373865843157538,0.314870142843594,0.159744612766174,0.107917452590808,0.088557629917816,0.0678150118362637
"neutrogenaclearfacesunscreenlotion55",1,1,1,0.768221279597376,0.64699663922063,0.486664263392288,0.18196863131171,0.139346602858324,0.130868430671905,0.104990131391452
"niacinamide",0.422502328332366,0.290744754905071,0.270114062385689,0.261769585063867,0.256145215776355,0.216384929473729,0.216246970083797,0.177589472762972,0.174867335188074,0.166759400487483
"paula'schoiceskinperfecting2%bha",0.0657496443775727,0.0568512273886102,0,0,0,0,0,0,0,0
"pixiglowtonic",0.15664708487307,0.145965078273606,0.124408981471599,0.115715990092525,0.109766022781289,0.106947458834743,0.0876836215292599,0.0777829969396887,0.0635729064640714,0.062546556837721
"purealoe",0.141077682931636,0.107585859265583,0.0937342568961007,0.0620252886981807,0.0580327551327519,0,0,0,0,0
"retin-a",0.217429365048846,0.166440669979548,0.136390347313889,0.127629427859208,0.118721432779676,0.108913950448571,0.096281454984135,0.092563975128974,0.0898807938944994,0.0841488540525517
"retinol",0.220795510404338,0.208980495677985,0.193962019385101,0.161001432919129,0.141091019197009,0.12876831291897,0.127269849669988,0.123353231512965,0.11625672774211,0.111197631610641
"rosehip",0.389495344288774,0.218560176240567,0.181142032430938,0.167365652045606,0.164292918490994,0.164274567984557,0.157084979929164,0.146986183948033,0.133389205184531,0.131670163287431
"rosehipseed",0.389495344288774,0.145072854538013,0.143281180833265,0.136725704405807,0.11920382163279,0.115715990092525,0.113602139496813,0.110901664909591,0.100707823490771,0.0987491784276114
"salicylicacid",0.332940683836759,0.246369851775958,0.216246970083797,0.173762870603272,0.164898706447509,0.154485682235714,0.153824098728242,0.153485124205066,0.123353231512965,0.122931632442457
"sandalwood",0,0,0,0,0,0,0,0,0,0
"simplemicellarwater",0.226107815823067,0.167910073713774,0.128282745457305,0.0887322973433534,0.0736959897608303,0.0712644160224512,0.0685007999779599,0.0661037131118233,0.063864414200315,0.0563950193584363
"squalane",0.160717366263979,0.149621699101189,0.146448805789438,0.14305874648336,0.117189831416987,0.113025019727106,0.105165931568002,0.102622746665774,0.0995801550278599,0.0826233266117482
"stratialiquidgold",0.247914697751359,0.224152794833681,0.117066439397273,0.116243711657733,0.109013470362216,0.106745851964489,0.103635612893402,0.0980882827065372,0.0960658272942905,0.0955279317404825
"stridexmaximumstrength",0.217429365048846,0.159744612766174,0.152162062697778,0.142936509239467,0.0951258224269328,0.0809322175779633,0.0763851227708175,0.0705633654800162,0.0699790234326911,0.0695620909808899
"teatree",0.154574856535852,0.131514293641239,0.107277566260887,0.104278941879437,0.099711117744561,0.099679182399404,0.0958310321842016,0.0942918723233595,0.093695453559706,0.0912453252210587
"thayerswitchhazelrosepetal",0.245670668280157,0.138462193905428,0.0895717954875023,0.0672004163213088,0.0565125098635531,0.0328748221887864,0,0,0,0
"theordinarycaffeinesolution",0.64699663922063,0.64699663922063,0.64699663922063,0.64699663922063,0.497036586077274,0.314870142843594,0.215374538925241,0.192069174569007,0.181142032430938,0.143281180833265
"theordinarygranactiveretinoid2%",0.356235249939548,0.139346602858324,0.130868430671905,0.113025019727106,0.0795054244426302,0,0,0,0,0
"theordinaryniacinamide10%",0.356235249939548,0.356235249939548,0.219937828833074,0.216384929473729,0.192069174569007,0.157084979929164,0.155714119050759,0.113602139496813,0.108679662232024,0.107879136613668
"toglycolicacidtoner",0.247536885744169,0.219937828833074,0.177496945905272,0.167910073713774,0.140440573403538,0.136725704405807,0.118730351752543,0.110602340602422,0.109080542424526,0.0829783895046625
"toniacinamide",0.422502328332366,0.188177482373745,0.188177482373745,0.177496945905272,0.141542573125562,0.133084623247684,0.131514293641239,0.108644320103908,0.107932580000535,0.104315791004474
"toniacinamide+zinc",1,0.247234088217074,0.188177482373745,0.0795054244426302,0.0657496443775727,0.0568512273886102,0,0,0,0
"topeelingsolution",0.247536885744169,0.226107815823067,0.121232161242218,0.108644320103908,0.0945586843090292,0.0811641255929457,0.071655596732058,0.0656461428731495,0.0636181745932607,0.0526958457602777
"tret",0.777001690246987,0.209061873648059,0.20673755061294,0.200357746202476,0.182507468527783,0.1823810088079,0.177589472762972,0.175346615971614,0.17437126333253,0.151193354951948
"tretinoin",0.777001690246987,0.264429346286258,0.221857204180778,0.208174260291765,0.185678201703005,0.180986903714235,0.174867335188074,0.172043953605369,0.169841982924124,0.166440669979548
"tretinoincream",0.264429346286258,0.20673755061294,0.106000740820566,0.0841488540525517,0.0702202867017692,0.060273344650279,0,0,0,0
"uncleharry'sclaymaskbar",1,1,1,0.768221279597376,0.64699663922063,0.486664263392288,0.18196863131171,0.139346602858324,0.130868430671905,0.104990131391452
