"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"accutane","bp","cosrxsnailmucinessence","purealoe","niacinamide","aha","tret","hyaluronicacid","squalane","cetaphil","vitaminc"
"aha","bha","niacinamide","vitaminc","salicylicacid","tret","retinol","tretinoin","aloe","rosehip","pixiglowtonic"
"aloe","bha","aha","vitaminc","salicylicacid","teatree","tretinoin","purealoe","tret","niacinamide","bp"
"aquafor","cetaphildailyhydratinglotionw/hyaluronicacid","laroche-posaytolerianehydratinggentlefacecleanser","neutrogenaclearfacesunscreenlotion55","uncleharry'sclaymaskbar","theordinarycaffeinesolution","mariobadescudryinglotion","hyaluronicacid","argan","cetaphil","bha"
"argan","rosehip","cetaphildailyhydratinglotionw/hyaluronicacid","laroche-posaytolerianehydratinggentlefacecleanser","neutrogenaclearfacesunscreenlotion55","uncleharry'sclaymaskbar","rosehipseed","aquafor","jojoba","garniermicellarwater","ceravepmmoisturizer"
"azelaicacid","niacinamide","vitaminc","tret","bha","aha","ceravepm","differin","laroche-posaytolerianeultra","hadalabo","tretinoin"
"aztecsecretclaymask","toniacinamide+zinc","ceravefoamingfacialcleanser","toniacinamide","niacinamide","bha","aha","accutane","aloe","aquafor","argan"
"benzoylperoxide","tretinoin","tret","bp","differin","bha","aha","salicylicacid","ceravehydratingcleanser","stratialiquidgold","cetaphil"
"bha","aha","salicylicacid","vitaminc","niacinamide","retinol","hyaluronicacid","tret","aloe","tretinoin","rosehip"
"bp","tret","tretinoin","benzoylperoxide","differin","salicylicacid","aha","bha","aloe","vaseline","accutane"
"ceravefoamingcleanser","ceravepmmoisturizer","rosehipseed","salicylicacid","bha","ceravepm","aha","azelaicacid","ceravehydratingcleanser","rosehip","differin"
"ceravefoamingfacialcleanser","aztecsecretclaymask","toniacinamide+zinc","stridexmaximumstrength","ceravepm","bha","tretinoincream","aha","ceraveinthetub","theordinaryniacinamide10%","aloe"
"ceravehydratingcleanser","thayerswitchhazelrosepetal","ceravepm","toglycolicacidtoner","simplemicellarwater","ceravepmmoisturizer","benzoylperoxide","niacinamide","lavender","topeelingsolution","toniacinamide"
"ceraveinthetub","cosrxsnailmucinessence","ceravemoisturizingcream","rosehipseed","vitaminc","differin","ceravefoamingfacialcleanser","ceravepm","tretinoin","garniermicellarwater","rosehip"
"ceravemoisturizingcream","thayerswitchhazelrosepetal","ceraveinthetub","salicylicacid","toglycolicacidtoner","squalane","grapeseed","jojoba","ceravehydratingcleanser","aha","niacinamide"
